FFMC,BUI,WSV,WindDir,FWIBin,Season,FireRegion,FWI,Year,Model
82.75,5.25,48,250,1,Spring,All,13.33199,1964,FFP
88.11,7.17,29,250,1,Spring,All,12.93532,1964,FFP
87.69,8.84,40,270,1,Spring,All,38.30203,1964,FFP
83.91,11.81,40,180,1,Spring,All,32.49398,1964,FFP
88.46,18.5,16,180,1,Spring,All,30.40132,1964,FFP
84.42,3.39,45,230,1,Spring,All,21.61763,1964,FFP
90.43,23.11,32,250,1,Summer,All,30.27209,1964,FFP
86.58,19.39,23,180,1,Summer,All,30.01877,1964,FFP
86.74,27.81,24,230,2,Summer,All,35.21424,1964,FFP
88.63,27.09,19,230,2,Summer,All,27.37752,1964,FFP
89.74,15.29,16,250,1,Summer,All,28.29661,1964,FFP
92.51,21.38,40,270,1,Summer,All,42.22089,1964,FFP
86.11,22.86,23,50,1,Summer,All,55.68515,1964,FFP
87.01,22.53,26,250,1,Summer,All,39.75628,1964,FFP
88.14,23.36,14,250,1,Summer,All,16.02893,1964,FFP
89.2,31.23,13,180,2,Summer,All,24.75007,1964,FFP
89.29,33.61,23,230,2,Summer,All,20.05999,1964,FFP
83.64,6.45,40,160,1,Summer,All,20.02939,1964,FFP
88.86,14.35,23,200,1,Summer,All,22.96348,1964,FFP
88.8,13.53,29,180,1,Summer,All,60.39455,1964,FFP
86.28,17.67,24,230,1,Summer,All,61.47192,1964,FFP
86.91,20.53,19,200,1,Summer,All,39.99881,1964,FFP
85.63,22.42,27,180,1,Summer,All,55.1743,1964,FFP
86.95,24.75,23,290,2,Summer,All,59.54425,1964,FFP
89.56,28.13,23,250,2,Summer,All,59.62282,1964,FFP
86.47,26.26,26,250,2,Summer,All,42.27991,1964,FFP
86.51,17.59,24,70,1,Summer,All,56.85873,1964,FFP
87.82,13.71,29,250,1,Summer,All,61.74992,1964,FFP
87.87,16.32,35,290,1,Summer,All,53.15646,1964,FFP
87.73,21.56,24,250,1,Summer,All,63.53679,1964,FFP
87.83,26.74,11,90,2,Summer,All,60.80055,1964,FFP
89.36,30.57,16,250,2,Summer,All,49.23472,1964,FFP
89.41,33.41,19,270,2,Summer,All,52.15715,1964,FFP
87.16,34.65,24,340,2,Summer,All,58.04021,1964,FFP
87.55,38.88,24,250,3,Summer,All,58.39901,1964,FFP
87.6,41.29,27,250,3,Summer,All,50.32528,1964,FFP
85.74,28.68,18,200,2,Summer,All,44.94499,1964,FFP
86.89,30.59,19,290,2,Summer,All,64.50345,1964,FFP
85.59,34.67,32,290,2,Summer,All,57.78206,1964,FFP
86.31,36.11,26,270,3,Summer,All,56.44892,1964,FFP
84.34,19.05,32,200,1,Summer,All,62.62664,1964,FFP
85.37,20.55,37,270,1,Summer,All,57.23588,1964,FFP
85.42,22.39,29,200,1,Summer,All,52.71033,1964,FFP
85.47,24.33,43,230,2,Summer,All,55.83423,1964,FFP
88.14,23.09,24,250,1,Summer,All,50.70975,1964,FFP
87.16,24.63,23,250,2,Summer,All,48.14533,1964,FFP
90.77,9.74,35,180,1,Spring,All,50.88254,1964,FFP
88.74,11.42,24,270,1,Spring,All,60.65215,1964,FFP
85.19,14.77,26,200,1,Spring,All,55.67381,1964,FFP
88.39,17.22,19,290,1,Spring,All,46.14235,1964,FFP
87.68,18.9,40,250,1,Spring,All,53.51406,1964,FFP
89.23,20.52,29,290,1,Spring,All,60.97611,1964,FFP
89.61,22.15,14,340,1,Spring,All,52.71776,1964,FFP
89.12,23.43,16,290,1,Spring,All,58.51928,1964,FFP
86.53,24.26,32,340,2,Spring,All,65.00784,1964,FFP
87.91,25.86,29,290,2,Spring,All,43.64048,1964,FFP
91.09,16.09,24,230,1,Spring,All,53.30106,1964,FFP
89.66,15.42,39,290,1,Spring,All,64.47871,1964,FFP
88.71,16.95,26,340,1,Spring,All,58.01853,1964,FFP
88.23,21.33,23,50,1,Spring,All,53.43957,1964,FFP
88.64,23.64,19,70,2,Spring,All,54.42691,1964,FFP
89.32,31.23,13,90,2,Spring,All,59.17835,1964,FFP
87.91,33.31,29,50,2,Spring,All,53.7794,1964,FFP
89.05,35.86,32,290,3,Spring,All,62.74595,1964,FFP
89.1,35.18,40,270,2,Spring,All,47.20436,1964,FFP
89.15,37.41,27,230,3,Spring,All,52.30959,1964,FFP
87.94,26.13,16,200,2,Spring,All,45.41293,1964,FFP
87.99,29.36,29,270,2,Spring,All,61.73254,1964,FFP
87.5,31.77,23,290,2,Spring,All,48.06146,1964,FFP
88.67,35.02,8,50,2,Spring,All,62.73361,1964,FFP
83.42,19.6,40,340,1,Spring,All,44.12042,1964,FFP
87.04,22.6,31,360,1,Spring,All,62.58526,1964,FFP
87.91,25.58,13,180,2,Summer,All,43.90727,1964,FFP
92.1,31.66,29,250,2,Summer,All,38.2533,1964,FFP
86.99,34.09,23,200,2,Summer,All,47.33822,1964,FFP
87.04,33.12,23,180,2,Summer,All,52.30793,1964,FFP
90.34,16.95,32,230,1,Summer,All,57.45967,1964,FFP
89.23,18.74,19,230,1,Summer,All,60.52077,1964,FFP
90.3,23.36,13,140,1,Summer,All,49.73674,1964,FFP
85.4,13.44,29,70,1,Summer,All,54.21774,1964,FFP
87.63,30.2,23,90,2,Summer,All,43.04137,1964,FFP
87.99,33.54,13,70,2,Summer,All,23.13165,1964,FFP
86.74,35.22,11,70,2,Summer,All,38.48766,1964,FFP
89.88,39.81,6,200,3,Summer,All,58.11572,1964,FFP
87.56,30.3,32,250,2,Summer,All,57.0068,1964,FFP
86.97,35.45,13,50,2,Summer,All,62.2384,1964,FFP
84.31,12.68,31,230,1,Summer,All,56.59981,1964,FFP
85.89,15.44,48,270,1,Summer,All,48.86291,1964,FFP
88.39,19.8,29,230,1,Summer,All,48.02002,1964,FFP
88.45,23.54,32,290,1,Summer,All,41.31375,1964,FFP
91.09,23.99,13,160,2,Summer,All,56.12422,1964,FFP
85.14,11.12,45,180,1,Summer,All,40.88043,1964,FFP
89.64,16.02,32,250,1,Summer,All,29.75783,1964,FFP
89.69,19.06,16,270,1,Summer,All,34.81811,1964,FFP
90.51,26.13,24,320,2,Summer,All,42.31675,1964,FFP
90.56,30.27,14,230,2,Summer,All,32.38141,1964,FFP
90.17,33.78,26,180,2,Summer,All,50.61114,1964,FFP
90.22,36.04,27,230,3,Summer,All,50.83385,1964,FFP
89.25,39.1,19,20,3,Summer,All,47.61207,1964,FFP
85.51,40.73,16,50,3,Summer,All,55.66041,1964,FFP
87.36,23.68,32,180,2,Summer,All,35.10947,1964,FFP
86.11,18.86,37,250,1,Summer,All,41.32944,1964,FFP
86.16,21.12,32,290,1,Summer,All,49.30667,1964,FFP
86.33,29.22,32,250,2,Summer,All,49.52341,1964,FFP
88.21,27.93,21,230,2,Summer,All,16.22158,1964,FFP
91.11,33.39,27,250,2,Summer,All,18.39559,1964,FFP
90.92,37.1,32,270,3,Summer,All,20.34031,1964,FFP
87.63,38.91,13,70,3,Summer,All,37.86922,1964,FFP
87.97,42.25,27,200,3,Summer,All,51.86832,1964,FFP
89.36,45.78,19,290,3,Summer,All,25.61955,1964,FFP
86.07,15.29,26,250,1,Summer,All,33.72007,1964,FFP
89.89,22.53,16,160,1,Summer,All,60.23096,1964,FFP
87.41,26.5,27,230,2,Summer,All,52.18826,1964,FFP
87.51,30.79,19,50,2,Summer,All,48.97164,1964,FFP
85.04,32.89,23,50,2,Summer,All,44.39386,1964,FFP
85.13,28.76,29,160,2,Summer,All,57.4636,1964,FFP
86.36,31.12,24,250,2,Summer,All,32.96546,1964,FFP
86.41,32.64,29,270,2,Summer,All,64.44566,1964,FFP
87.83,34.66,27,290,2,Summer,All,36.29158,1964,FFP
85.09,13.84,27,250,1,Summer,All,42.62342,1964,FFP
86.49,16.22,35,230,1,Summer,All,26.90558,1964,FFP
86.17,17.75,24,230,1,Summer,All,47.34304,1964,FFP
86.64,20.48,26,290,1,Summer,All,41.45008,1964,FFP
88.93,24.54,23,230,2,Summer,All,39.59359,1964,FFP
88.22,22.14,55,290,1,Summer,All,57.74983,1964,FFP
87.61,23.06,39,290,1,Summer,All,63.65035,1964,FFP
87.26,23.76,29,290,2,Summer,All,58.47644,1964,FFP
90.44,26.7,32,250,2,Summer,All,29.44375,1964,FFP
90.12,28.82,10,250,2,Summer,All,40.80021,1964,FFP
86.71,29.51,16,50,2,Summer,All,29.30656,1964,FFP
86.44,30.34,14,320,2,Summer,All,56.55078,1964,FFP
88,32.07,13,250,2,Summer,All,62.9626,1964,FFP
88.05,33.54,10,50,2,Fall,All,41.12013,1964,FFP
84.23,30.51,32,230,2,Fall,All,30.83245,1964,FFP
84.34,31.1,24,290,2,Fall,All,34.50691,1964,FFP
85.11,31.78,19,250,2,Fall,All,36.34455,1964,FFP
83.28,30.16,24,250,2,Fall,All,31.62093,1964,FFP
86.78,10.55,27,270,1,Spring,All,35.77248,1964,FFP
87.61,15.18,26,250,1,Spring,All,32.02859,1964,FFP
88.13,18.74,23,290,1,Spring,All,46.68345,1964,FFP
88.45,21.29,13,160,1,Spring,All,40.13893,1964,FFP
86.65,22.97,42,180,1,Spring,All,37.80355,1964,FFP
85.23,16.66,39,250,1,Spring,All,46.76885,1964,FFP
90.48,20.06,32,230,1,Spring,All,36.44981,1964,FFP
83.42,22.28,27,70,1,Spring,All,42.50166,1964,FFP
84.42,24.25,29,50,2,Spring,All,38.19859,1964,FFP
87.75,14.99,26,290,1,Spring,All,34.87171,1964,FFP
88.85,17.96,14,200,1,Spring,All,49.32517,1964,FFP
85.25,19.49,23,50,1,Spring,All,52.11993,1964,FFP
85.1,16.19,27,50,1,Spring,All,43.27039,1964,FFP
90.01,12.3,26,50,1,Spring,All,38.30605,1964,FFP
90.05,16,19,50,1,Spring,All,36.17856,1964,FFP
88.48,21.66,16,50,1,Spring,All,57.70406,1964,FFP
88.53,25.01,24,200,2,Summer,All,28.17232,1964,FFP
92.94,18.98,32,230,1,Summer,All,36.22886,1964,FFP
91.73,15.15,48,290,1,Summer,All,30.16699,1964,FFP
90.85,18.39,23,270,1,Summer,All,33.77155,1964,FFP
90.5,8.68,31,270,1,Summer,All,21.72065,1964,FFP
89.66,11.91,19,230,1,Summer,All,28.01004,1964,FFP
