Year,AnnualPDSI
1,1.405833333
2,3.888333333
3,2.1675
4,3.2275
5,2.756666667
6,4.4375
7,2.275
8,0.539166667
9,2.521666667
10,3.8825
11,3.895833333
12,1.038333333
13,1.56
14,1.255
15,-1.069166667
16,0.658333333
17,2.385
18,1.864166667
19,-0.053333333
20,1.601666667
21,0.445833333
22,0.9025
23,2.224166667
24,2.371666667
25,2.756666667
26,1.875833333
27,-0.631666667
28,-0.411666667
29,-0.695833333
30,-1.0125
31,0.093333333
32,0.0625
33,0.465
34,-1.615833333
35,0.098333333
36,0.18
37,-0.088333333
38,1.223333333
39,0.054166667
40,-0.885
41,0.131666667
42,1.250833333
43,1.855
44,0.436666667
45,1.43
46,-0.023333333
47,-0.513333333
48,0.995833333
49,-1.1625
50,-1.435
51,0.425833333
52,0.99
53,3.076666667
54,0.588333333
55,-0.6325
56,-2.685
57,-2.5075
58,-0.964166667
59,-0.0825
60,-0.153333333
61,0.403333333
62,0.6575
63,0.706666667
64,-0.315
65,-1.48
66,-1.780833333
67,-3.409166667
68,-2.944166667
69,-1.060833333
70,0.705
71,-2.248333333
72,-1.184166667
73,-1.014166667
74,0.0225
75,-1.514166667
76,-1.963333333
77,-0.505833333
78,-1.545
79,-4
80,-4.218333333
81,-2.595
82,-1.073333333
83,-1.3425
84,-0.960833333
85,-2.2725
86,-1.0825
87,0.169166667
88,-3.884166667
89,-1.4725
90,-4.134166667
91,-5.105833333
92,-5.105833333
93,-5.105833333
94,-5.105833333
95,-5.105833333
96,-5.105833333
97,-5.105833333
98,-5.105833333
99,-5.105833333
100,-5.105833333
