Year,Month,PDSI
1979,1,0.05
1979,2,0.91
1979,3,1.82
1979,4,1.73
1979,5,1.85
1979,6,2.02
1979,7,2.05
1979,8,-0.31
1979,9,-1.24
1979,10,-0.75
1979,11,-0.77
1979,12,-1.12
1980,1,0.44
1980,2,0.42
1980,3,-0.21
1980,4,-1.34
1980,5,-3.09
1980,6,-3.5
1980,7,-4.33
1980,8,-3.17
1980,9,-2.49
1980,10,-2.68
1980,11,-2.75
1980,12,-2.77
1981,1,-2.97
1981,2,-2.31
1981,3,-2.37
1981,4,-1.72
1981,5,-2.28
1981,6,0.98
1981,7,0.95
1981,8,1.29
1981,9,0.86
1981,10,1.56
1981,11,0.9
1981,12,0.85
1982,1,1.23
1982,2,0.94
1982,3,1.24
1982,4,1.12
1982,5,1.72
1982,6,1.17
1982,7,1.42
1982,8,0.82
1982,9,0.86
1982,10,1.62
1982,11,1.75
1982,12,1.47
1983,1,1.58
1983,2,-0.25
1983,3,-0.06
1983,4,-0.61
1983,5,-0.88
1983,6,0.41
1983,7,0.51
1983,8,0.44
1983,9,0.36
1983,10,0.21
1983,11,0.94
1983,12,1.02
1984,1,-0.14
1984,2,-0.06
1984,3,-0.54
1984,4,-0.85
1984,5,-1.16
1984,6,1.1
1984,7,-0.97
1984,8,-1.76
1984,9,-1.78
1984,10,1.29
1984,11,-0.38
1984,12,0.38
1985,1,-0.33
1985,2,-0.44
1985,3,0.29
1985,4,0.59
1985,5,1.8
1985,6,2.27
1985,7,2.66
1985,8,3.24
1985,9,3.39
1985,10,2.75
1985,11,3.04
1985,12,2.68
1986,1,2.38
1986,2,2.22
1986,3,1.5
1986,4,2.63
1986,5,1.94
1986,6,1.95
1986,7,2.15
1986,8,2.53
1986,9,3.98
1986,10,-0.96
1986,11,-0.55
1986,12,-0.88
1987,1,-0.95
1987,2,-1.11
1987,3,-1.28
1987,4,-2.69
1987,5,-1.98
1987,6,-3.71
1987,7,-2.83
1987,8,-2.69
1987,9,-2.54
1987,10,-3.23
1987,11,-3.48
1987,12,-3.41
1988,1,-3.12
1988,2,-3.32
1988,3,-2.61
1988,4,-3.35
1988,5,-4.28
1988,6,-5.52
1988,7,-6.59
1988,8,-4.15
1988,9,-3.21
1988,10,-3.48
1988,11,-2.48
1988,12,-2.05
1989,1,-1.29
1989,2,-1.42
1989,3,-1.23
1989,4,-1.21
1989,5,-0.97
1989,6,-0.77
1989,7,-1.91
1989,8,-1.24
1989,9,-0.82
1989,10,-1.49
1989,11,-1.67
1989,12,-2.04
1990,1,-2.23
1990,2,-2.14
1990,3,-1.32
1990,4,-0.85
1990,5,-1.6
1990,6,-1.28
1990,7,-1.94
1990,8,-2.64
1990,9,-2.9
1990,10,-2.23
1990,11,-2.52
1990,12,-2.26
1991,1,-2.21
1991,2,0.24
1991,3,0.29
1991,4,0.67
1991,5,0.72
1991,6,0.52
1991,7,0.76
1991,8,-0.71
1991,9,1.06
1991,10,0.59
1991,11,1.12
1991,12,-0.11
1992,1,-0.26
1992,2,-0.22
1992,3,-0.29
1992,4,-0.21
1992,5,-1.11
1992,6,-1.62
1992,7,0.62
1992,8,1.61
1992,9,-0.19
1992,10,-1.19
1992,11,-1.18
1992,12,-0.96
1993,1,-0.59
1993,2,-0.98
1993,3,-1.22
1993,4,0.32
1993,5,1.16
1993,6,1.4
1993,7,2.96
1993,8,3.75
1993,9,3.05
1993,10,2.04
1993,11,2.2
1993,12,2.02
1994,1,2
1994,2,1.71
1994,3,1.29
1994,4,1.77
1994,5,0.89
1994,6,1.57
1994,7,2.09
1994,8,2.04
1994,9,-0.08
1994,10,0.15
1994,11,0.19
1994,12,-0.36
1995,1,0.16
1995,2,0.23
1995,3,0.44
1995,4,-0.06
1995,5,-0.32
1995,6,-1.99
1995,7,0.92
1995,8,1.75
1995,9,1.58
1995,10,2.51
1995,11,2.29
1995,12,2.37
1996,1,2.8
1996,2,2.85
1996,3,-0.41
1996,4,-0.39
1996,5,-0.66
1996,6,-1.1
1996,7,-0.63
1996,8,-1.26
1996,9,0.24
1996,10,0.82
1996,11,1.78
1996,12,2.01
1997,1,2.68
1997,2,2.05
1997,3,2
1997,4,1.5
1997,5,1.18
1997,6,1.45
1997,7,2.03
1997,8,-0.03
1997,9,-0.28
1997,10,-0.34
1997,11,-0.33
1997,12,-0.73
1998,1,0.03
1998,2,0.29
1998,3,-0.08
1998,4,-0.74
1998,5,0.17
1998,6,1.22
1998,7,-0.07
1998,8,-0.9
1998,9,-1.29
1998,10,0.49
1998,11,0.86
1998,12,0.89
1999,1,1.05
1999,2,-0.14
1999,3,-0.12
1999,4,-0.27
1999,5,1.32
1999,6,1.3
1999,7,2.74
1999,8,3.96
1999,9,4.37
1999,10,3.42
1999,11,2.24
1999,12,1.58
2000,1,1.19
2000,2,1.4
2000,3,1.22
2000,4,0.77
2000,5,0.8
2000,6,1.38
2000,7,1.24
2000,8,1.44
2000,9,1.11
2000,10,0.64
2000,11,2.02
2000,12,1.8
2001,1,1.56
2001,2,2.16
2001,3,1.31
2001,4,2.85
2001,5,3.16
2001,6,-0.07
2001,7,-0.65
2001,8,-0.9
2001,9,-1.39
2001,10,-1.28
2001,11,-1.21
2001,12,-1.21
2002,1,-1.51
2002,2,-1.54
2002,3,-0.03
2002,4,0.12
2002,5,0.02
2002,6,0.61
2002,7,1.62
2002,8,2.39
2002,9,-0.41
2002,10,-0.06
2002,11,-0.59
2002,12,-0.78
2003,1,-1.13
2003,2,-1.37
2003,3,-1.69
2003,4,-1.57
2003,5,0.12
2003,6,0.55
2003,7,0.7
2003,8,-0.91
2003,9,-1.06
2003,10,-1.85
2003,11,-2
2003,12,-2.23
2004,1,-2.13
2004,2,-2
2004,3,-1.6
2004,4,-1.88
2004,5,0.91
2004,6,0.06
2004,7,0.32
2004,8,0.04
2004,9,1.87
2004,10,2.17
2004,11,1.41
2004,12,1.5
2005,1,2.12
2005,2,-0.04
2005,3,-0.46
2005,4,-1
2005,5,0.81
2005,6,1.57
2005,7,-0.86
2005,8,-1.19
2005,9,-1.24
2005,10,0.18
2005,11,1.38
2005,12,1.43
2006,1,-0.29
2006,2,0.1
2006,3,0.29
2006,4,-0.54
2006,5,-0.51
2006,6,-1.5
2006,7,-2.91
2006,8,-3.38
2006,9,-2.93
2006,10,-3.09
2006,11,-3.18
2006,12,-2.71
2007,1,-2.89
2007,2,-2.43
2007,3,-1.72
2007,4,-1.27
2007,5,-1.43
2007,6,-2.18
2007,7,-3.11
2007,8,-3.75
2007,9,0.79
2007,10,1.57
2007,11,-0.53
2007,12,-0.03
2008,1,-0.51
2008,2,-0.71
2008,3,-1.26
2008,4,1.22
2008,5,0.88
2008,6,1.32
2008,7,-0.19
2008,8,-1.24
2008,9,0.42
2008,10,1.13
2008,11,1.19
2008,12,1.81
2009,1,1.51
2009,2,1.87
2009,3,3.51
2009,4,-0.37
2009,5,-0.89
2009,6,-1.23
2009,7,-1.27
2009,8,-1.23
2009,9,-2.47
2009,10,-0.97
2009,11,-1.11
2009,12,-0.56
2010,1,-0.61
2010,2,-0.93
2010,3,-1.5
2010,4,-2.37
2010,5,-2.27
2010,6,0.04
2010,7,0.68
2010,8,1.5
2010,9,2.5
2010,10,2.41
2010,11,2.14
2010,12,2.25
2011,1,2.17
2011,2,1.67
2011,3,1.13
2011,4,1.85
2011,5,2
2011,6,0.01
2011,7,-0.49
2011,8,-0.53
2011,9,-1.65
2011,10,-2.76
2011,11,-3.28
2011,12,-3.69
2012,1,-4.04
2012,2,-4.01
2012,3,-4.03
2012,4,0.53
2012,5,1.59
2012,6,2.4
2012,7,0.02
2012,8,-0.63
2012,9,-2.13
2012,10,-2.62
2012,11,-2.73
2012,12,-2.55
2013,1,0.27
2013,2,0.78
2013,3,1.25
2013,4,1.86
2013,5,1.95
2013,6,1.88
2013,7,-0.56
2013,8,-1.72
2013,9,-2.28
2013,10,-1.51
2013,11,-1.73
2013,12,-0.75
