Year,AnnualPDSI
1,-1.415
2,-1.036666667
3,0.360833333
4,-0.013333333
5,0.055833333
6,-2.1225
7,0.504166667
8,-0.046666667
9,-1.516666667
10,0.305833333
11,-0.2675
12,-1.9925
13,1.828333333
14,1.105
15,-2.1225
16,1.250833333
17,1.7875
18,1.250833333
19,1.3425
20,-1.036666667
21,-1.516666667
22,0.305833333
23,-0.2675
24,-1.9925
25,1.828333333
26,1.105
27,-2.1225
28,1.250833333
29,1.7875
30,1.250833333
31,1.3425
32,-1.036666667
33,-1.516666667
34,-0.405833333
35,0.245
36,0.931666667
37,-1.516666667
38,-1.338333333
39,0.52
40,0.504166667
41,0.32
42,0.305833333
43,0.504166667
44,0.305833333
45,0.338333333
46,0.0725
47,-0.405833333
48,-1.516666667
49,-2.491666667
50,1.828333333
51,0.32
52,1.28
53,1.828333333
54,1.828333333
55,1.828333333
56,0.931666667
57,-1.338333333
58,1.250833333
59,-1.720833333
60,1.3425
61,0.823333333
62,0.245
63,-0.416666667
64,-1.516666667
65,-0.405833333
66,-1.720833333
67,-0.046666667
68,-2.491666667
69,0.823333333
70,0.245
71,-2.491666667
72,1.7875
73,0.055833333
74,1.105
75,0.823333333
76,0.823333333
77,1.574166667
78,-0.2675
79,-1.9925
80,-0.355
81,0.245
82,-1.415
83,-0.2675
84,0.0725
85,-3.68
86,-2.491666667
87,1.828333333
88,-3.68
89,0.823333333
90,0.055833333
91,1.105
92,-3.68
93,-1.338333333
94,1.574166667
95,0.305833333
96,0.055833333
97,0.504166667
98,1.250833333
99,0.225
100,0.52
